Title,Year,Rating,TotalVotes,Genre1,Genre2,Genre3,MetaCritic,Runtime,Budget,CVotes01,CVotes02,CVotes03,CVotes04,CVotes05,CVotes06,CVotes07,CVotes08,CVotes09,CVotes1000,CVotes1829,CVotes1829F,CVotes1829M,CVotes3044,CVotes3044F,CVotes3044M,CVotes45A,CVotes45AF,CVotes45AM,CVotesFemale,CVotesMale,CVotesU18,CVotesU18F,CVotesU18M,CVotesUS,CVotesnUS,Votes1000,Votes1829,Votes1829F,Votes1829M,Votes3044,Votes3044F,Votes3044M,Votes45A,Votes45AF,Votes45AM,VotesF,VotesIMDB,VotesM,VotesU18,VotesU18F,VotesU18M,VotesUS,VotesnUS,CVotes10
The Help,2011,8.1,"347,299",Drama,,,62,146 min,"$25,000,000 ",2948,974,1326,2456,6011,17268,57034,115917,82560,645,136852,62426,72944,110695,36317,72802,28383,9023,18891,115762,173908,990,474,507,59445,157474,7,8.2,8.5,8,7.9,8.3,7.8,8,8.3,7.9,8.4,7.9,7.9,8.3,8.6,8.1,8,8,60811
The Hobbit: An Unexpected Journey,2012,7.9,"675,678",Adventure,Fantasy,,,169 min,"$180,000,000 ",6846,2845,4588,8227,19699,51765,122538,191128,132202,785,278388,58630,217052,195765,30209,162768,37575,6457,30484,104340,445566,2577,593,1966,78375,308010,7.5,8,8.2,8,7.7,7.9,7.7,7.7,8,7.6,8.1,7,7.8,8,8.3,7.9,7.8,7.8,135848
The Hobbit: The Desolation of Smaug,2013,7.9,"520,084",Adventure,Fantasy,,66,161 min,"$225,000,000 ",4955,2251,3519,6452,15248,39268,95756,153173,101709,716,215009,42613,170290,144473,20892,121518,27811,4514,22820,74772,343498,2463,567,1881,56067,234354,7.5,8,8.2,8,7.7,7.9,7.7,7.7,7.9,7.6,8.1,7.1,7.8,8.1,8.5,8,7.8,7.8,97766
The Hunger Games: Catching Fire,2013,7.6,"531,466",Action,Adventure,Mystery,76,146 min,"$130,000,000 ",6978,2675,4094,7591,18571,50575,121748,150153,83874,693,218884,67934,148652,140683,28735,109976,27789,5771,21545,115421,307237,3650,1664,1956,68521,221430,6.7,7.8,8.2,7.6,7.3,7.9,7.2,7.3,7.9,7.2,8.1,7.3,7.4,8,8.5,7.7,7.7,7.4,85219
The Imitation Game,2014,8.1,"540,489",Biography,Drama,Thriller,73,114 min,"$14,000,000 ",2307,824,1311,2625,7553,25801,94784,187223,137855,637,218870,53533,163084,141013,24842,113989,31492,5984,24954,92724,328283,2703,783,1895,48944,238440,7.3,8.2,8.4,8.1,7.8,8.1,7.8,8,8.3,7.9,8.3,8.2,8,8.5,8.8,8.3,8,8,80221
The King's Speech,2010,8,"540,240",Biography,Drama,,88,118 min,"$15,000,000 ",3702,1385,2090,3991,10120,31083,100984,187772,129146,758,212048,57515,152316,175900,35664,137753,41655,9171,31784,108830,339153,1150,311,827,72154,272059,7.7,8.1,8.3,8.1,7.9,8.2,7.9,8.1,8.5,8,8.3,7.9,8,8.2,8.2,8.2,8.2,8,69976
The Lego Movie,2014,7.8,"271,515",Animation,Action,Adventure,83,100 min,"$60,000,000 ",2918,1466,2053,3680,8596,21793,55181,83773,50795,579,111043,20677,89180,77271,11020,65191,13346,2032,11079,37351,180122,1887,414,1464,42963,114308,7.2,7.9,7.7,8,7.6,7.5,7.6,7.4,7.4,7.4,7.7,8.1,7.8,8.2,7.9,8.2,8,7.6,41269
The Little Prince,2015,7.8,"40,777",Animation,Adventure,Drama,70,108 min,"$81,200,000 ",293,158,227,456,1162,3370,8558,11668,7321,198,15959,5610,10150,12174,2682,9280,1899,355,1496,9552,22441,226,96,128,3678,19009,6.6,7.9,8.2,7.8,7.6,7.9,7.5,7.5,7.9,7.4,8.1,7,7.6,8,8.2,7.8,7.7,7.7,7565
The Martian,2015,8,"569,347",Adventure,Drama,Sci-Fi,80,144 min,"$108,000,000 ",2907,1316,2046,3815,9930,31179,102723,200315,139593,671,200653,36790,161765,161073,22228,136425,35406,5409,29354,71421,359265,3206,638,2543,61128,239125,7.8,8.1,8.1,8.1,7.9,7.9,7.9,8,8.2,7.9,8.1,8.2,8,8.4,8.5,8.4,8.1,7.9,75560
The Perks of Being a Wallflower,2012,8,"382,665",Drama,Romance,,67,102 min,"$13,000,000 ",3037,1324,2015,3881,8739,24268,64343,110727,85725,572,187119,73101,112011,89339,22467,65550,15562,3660,11607,108832,202178,1980,1147,807,48654,173536,7,8.1,8.2,8.1,7.8,7.8,7.8,7.7,7.7,7.7,8.1,8.2,8,8.4,8.5,8.3,8.1,7.9,78615
The Revenant,2015,8,"512,526",Adventure,Drama,Thriller,76,156 min,"$135,000,000 ",4570,2320,3386,5571,12837,33492,91154,158019,121229,624,186003,31926,152198,138923,18699,118140,28582,4269,23782,61051,323938,2619,458,2141,51493,213741,7.6,8.1,7.9,8.2,7.9,7.7,7.9,7.8,7.8,7.8,7.9,8.3,8,8.5,8.2,8.5,8.1,7.9,79977
The Social Network,2010,7.7,"516,417",Biography,Drama,,95,120 min,"$40,000,000 ",6346,2914,3284,6351,16288,46869,122694,161983,89515,780,225279,49149,173908,168440,26636,139525,28054,4995,22588,84711,351608,1461,309,1142,80615,265272,7.3,7.9,7.5,8,7.6,7.3,7.7,7.5,7.4,7.5,7.4,8,7.8,8.3,8,8.4,8,7.6,60189
The Theory of Everything,2014,7.7,"305,145",Biography,Drama,Romance,72,123 min,"$15,000,000 ",1277,575,1075,2307,7013,23057,75080,104625,53814,547,128871,40915,86550,79860,17002,61623,17231,3737,13186,67669,174408,1668,698,945,27641,140414,6.9,7.8,8.1,7.8,7.5,7.7,7.5,7.6,7.8,7.6,8,8.1,7.6,8.1,8.5,7.9,7.5,7.6,36339
